title,location,region,stars,amenities,start price,end price,total normalised rating,total rating,total count,total very positive rating count,total positive rating count,total negative rating count,total very negative rating count,total very positive reviews,total positive reviews,total negative reviews,total very negative reviews,location rating,location count,location very positive rating count,location positive rating count,location negative rating count,location very negative rating count,location very positive reviews,location positive reviews,location negative reviews,location very negative reviews,room rating,room count,room very positive rating count,room positive rating count,room negative rating count,room very negative rating count,room very positive reviews,room positive reviews,room negative reviews,room very negative reviews,food rating,food count,food very positive rating count,food positive rating count,food negative rating count,food very negative rating count,food very positive reviews,food positive reviews,food negative reviews,food very negative reviews,service rating,service count,service very positive rating count,service positive rating count,service negative rating count,service very negative rating count,service very positive reviews,service positive reviews,service negative reviews,service very negative reviews,cleanliness rating,cleanliness count,cleanliness very positive rating count,cleanliness positive rating count,cleanliness negative rating count,cleanliness very negative rating count,cleanliness very positive reviews,cleanliness positive reviews,cleanliness negative reviews,cleanliness very negative reviews,count,error percentage
The Orchid,"70 C Nehru Road, Vile Parle East, Vile Parle East, 400099, India", Vile Parle East,4.5,"Pool, Free Parking, Fitness Centre with Gym / Workout Room, Room Service, Restaurant, Bar/Lounge, Free Internet, Free Breakfast",6354,11598,5.939189423,5.580808621,29,5,7,14,3,"['awesome food and excellent staff', 'overall a very good experience', 'overall the food is great , ambiance is spot on but some things do need to be patched up', 'the room are very clean and good', 'the interiors are also very good']","['very close to both the domestic and international terminals', 'the room was very comfortable and as we had checked in around noon they were serving lunch and not breakfast', 'the service and rooms are good', 'best feature of this hotel is its location which is very near the airport making it convenient for short business trips to mumbai', 'overall a', 'highly recommended for travelers', 'the overall experience is good and can be advised to visit there']","['despite this i', 'their plumbing system is archaic', 'the tiles are chipped', 'overall , it was a terrible experience', 'sleep quality is great and swimming pool helps you recover the jet lag', 'the staff were very helpful and kept my fragrant bag full of cheese in the hotel frig', 'there are some pros and cons to the orchid', 'but make sure you prebook in order to have your name on the list', 'my agent had not secured the booking , but', 'in fact it is located almost within the airport campus and thus you spend minimum time travelling to and from the hotel , which is especially helpful if you have a late night arrival or early morning departure', 'i was there on th oct to th oct with my kids', 'the domestic airport is minutes away while the international is minutes away', 'i had been put up in the orchid as my flight was delayed by a day', 'the roof top swimming pool is small and cramped and does not score full points']","['very useful for business trips , when you can check in after your flight and go ahead for your work without losing much time and also when you have to catch early morning flights', 'only negative from my side are seprate wifi charges which is an inconveienince', 'the breakfast buffet was terrible , the staff impolite least interested in attending to patrons']",5.48335,2,0,1,1,0,[],"['overall the food is great , ambiance is spot on but some things do need to be patched up']",['best feature of this hotel is its location which is very near the airport making it convenient for short business trips to mumbai'],[],5.48515,4,0,2,2,0,[],"['the service and rooms are good', 'in fact it is located almost within the airport campus and thus you spend minimum time travelling to and from the hotel , which is especially helpful if you have a late night arrival or early morning departure']","['the room was very comfortable and as we had checked in around noon they were serving lunch and not breakfast', 'the room are very clean and good']",[],6.73094375,4,1,3,0,0,"['overall the food is great , ambiance is spot on but some things do need to be patched up']","['the room was very comfortable and as we had checked in around noon they were serving lunch and not breakfast', 'the breakfast buffet was terrible , the staff impolite least interested in attending to patrons', 'awesome food and excellent staff']",[],[],5.5396625,4,0,3,0,1,[],"['the service and rooms are good', 'the staff were very helpful and kept my fragrant bag full of cheese in the hotel frig', 'awesome food and excellent staff']",[],"['the breakfast buffet was terrible , the staff impolite least interested in attending to patrons']",8.44515,1,1,0,0,0,['the room are very clean and good'],[],[],[],88,18
Hotel Samraj,"Chakala Road, 400099, India",Chakala Road,2,"Room Service, Free Parking, Restaurant, Free Breakfast, Free High Speed Internet ( WiFi )",2468,3023,5.986135,5.832123913,23,1,13,8,1,['overall it was a pleasant stay'],"['room service was good', 'airport pickupdrop is available', 'very easy find as it is on main road', 'room service are normal', 'friendly online booking system', 'hotel service before and after was good', 'will give marks on to scale', 'comfortable and safe to stay', 'better go outside to eat', 'charged extra taxes and other extra rates on the rate confirmed while booking', 'i dont recommend at all', 'hotel service before and after was good', 'has been maintained well , just that the corridors and interiors need to be upgraded so that clients or visitors feel superior']","['stayed there for couple of days in nov on a business trip with my colleague', 'i did not ask for wifi , so no comment on that', 'i have stayed there for days', 'it also near to solitaire corporate park', 'airport pickup n drop was at right time arranged', 'no transportation nearby for almost half a km', 'not at', 'staff is polite helpful excellant location afforable prices']",['bathroom also very much ugly and dirty'],5.15565,1,0,0,1,0,[],[],['staff is polite helpful excellant location afforable prices'],[],5.505858333,3,0,1,2,0,[],['bathroom also very much ugly and dirty'],"['room service was good', 'room service are normal']",[],NA,0,0,0,0,0,[],[],[],[],5.53375,5,0,5,0,0,[],"['room service was good', 'room service are normal', 'hotel service before and after was good', 'staff is polite helpful excellant location afforable prices', 'hotel service before and after was good']",[],[],2.581425,1,0,0,0,1,[],[],[],['bathroom also very much ugly and dirty'],53,57
Hotel Highway Residency,"In The Lane of Chakala Cigarette Factory, Bamanwada, Andheri(East), 400099, India", Andheri(East),1,"Budget, Free Parking, Free Breakfast, Pets Allowed, Room Service, Free Parking, Restaurant, Free Breakfast",2098,3825,6.07315625,5.770429167,18,2,8,8,0,"['the staff of the hotel wasnt very nice but they helped us with taxi and we were able to get to the city', 'deepak , is a very helpful man , and went above and beyond his duty to make sure that we are not inconvenienced']","['it charged me rs taxes for one', 'stayed with friends for a couple of days on a weekend trip to mumbai', 'the manager was a very polite and efficient person who helped us make prompt reservations', 'the room was quite good , clean but nothing special', 'over all nice stay', 'the manager , mr', 'feel like home', 'hotel highway in the heart of mumbai is in a perfect location to shopping , dining , and night life']","['we stayed there only for one night because of our late arrival to the airport', 'we have a free pick up from the airport , so plus for that', 'not much fancy but enough for a business trip at affordable price', 'channels options is less , can increase national channels', 'we with our infant stayed here for a few hours while waiting for our connecting international flight', 'upon our request , we were picked', 'the owner helped us get a train to agra which was very helpful , and organised a', 'the staff is really helpful and the room which i stayed']",[],7.5366,1,0,1,0,0,[],"['hotel highway in the heart of mumbai is in a perfect location to shopping , dining , and night life']",[],[],4.74495,2,0,0,2,0,[],[],"['the room was quite good , clean but nothing special', 'the staff is really helpful and the room which i stayed']",[],NA,0,0,0,0,0,[],[],[],[],5.568075,2,0,2,0,0,[],"['the staff of the hotel wasnt very nice but they helped us with taxi and we were able to get to the city', 'the staff is really helpful and the room which i stayed']",[],[],7.28525,1,0,1,0,0,[],"['the room was quite good , clean but nothing special']",[],[],48,82
Hotel Columbus,NA,NA,NA,,NA,NA,6.085189286,5.695502273,11,1,5,5,0,['the hotel has a great view'],"['rates you can negotiate', 'but , i ordered tea and quality as well as quantity was good', 'free wifi internet voucher', 'rates are high but , it might be because it is so close to domestic as well as international airports', 'one should stay there to experience the same']","['very close to mumbai domestic and international airport , it is a big plus point for connected flight users', 'free airport pickup and drop x for guests on request', 'vile parle local train station is at just walkable distance', 'no complimentary drinking water bottles were provided', 'market was at a walk able distance']",[],8.2775,1,1,0,0,0,['the hotel has a great view'],[],[],[],NA,0,0,0,0,0,[],[],[],[],NA,0,0,0,0,0,[],[],[],[],NA,0,0,0,0,0,[],[],[],[],NA,0,0,0,0,0,[],[],[],[],27,8
Hotel Karl Residency,"36, Lallubhai Park Road, Andheri, 400058, India", Andheri,3,"Room Service, Free Parking, Restaurant, Pool, Bar/Lounge",3393,7095,6.0861025,5.559738587,46,2,19,25,0,"['found the very much suitable for business visit', 'room service is good']","['nice rooms , well priced , swimming pool on the roof nice restaurant at nights on the roof garden', 'free wifi', 'the', 'found several business engagements occuring there', 'for instance ,', 'i stayed there during the diwali festival', 'the rooms were neat and tidy , well furnished with enough charging', 'we loved our twoday stay here during diwali ,', 'rooftop pool is also nice', 'we got a early check in as requested', 'it was quite high', 'the hotel was very nice and the staff response was too good', 'nice rooms , cleanliness offered', 'good food options and good supportive staff', 'nice ambiance and good interiors', 'really great time there and recommends everybody to go and have a stay there', 'staff and reception bhi attractive tha', 'staff and reception bhi attractive tha', 'the room is clean']","['the only complaint is that the lift is a little slow', 'my husband and i stayed here in december for about nights on our visit to mumbai', 'hotel karl residency is situated in a very quiet residential area of west andheri', 'i stayed at karl residency on transit on november this year', 'we ended our entire india trip at the karl residency and had hoped that it would be a bit of luxury before flying home', 'however there were things that we just didnt like', 'but yeah , unless you are booking online , theyll charge you good', 'nearby from andheri station', 'the hotel was more spacious for party , function and meetings', 'the location of the hotel is nearer to andheri', 'the service of the hotel was too good and preferable', 'i would advice everyone to prefer karl residency to stay in mumbai', 'i had been there for a business meet', 'meeting hall was very average', 'very basic seating arrangements', 'it is just half an hour kilometer from andheri railway station', 'it was a bad experience', 'parking zone was not their', 'hotel bhut acha aur saaf suthra tha', 'hotel ke sabhi staff helpful', 'hotel bhut acha or saaf suthra tha', 'hotel bahut acha or saaf suthra tha', 'this hotel is simple , the room is small', 'the bath room is clean too , the hot water shower is really good', 'i used to stay at karl residency inandheriw , mumai time to time']",[],5.7964375,2,0,2,0,0,[],"['hotel karl residency is situated in a very quiet residential area of west andheri', 'the location of the hotel is nearer to andheri']",[],[],5.907121154,13,1,6,6,0,"['nice rooms , well priced , swimming pool on the roof nice restaurant at nights on the roof garden']","['the rooms were neat and tidy , well furnished with enough charging', 'nice rooms , cleanliness offered', 'staff and reception bhi attractive tha', 'hotel bhut acha or saaf suthra tha', 'hotel bahut acha or saaf suthra tha', 'staff and reception bhi attractive tha']","['room service is good', 'the hotel was more spacious for party , function and meetings', 'hotel bhut acha aur saaf suthra tha', 'this hotel is simple , the room is small', 'the room is clean', 'the bath room is clean too , the hot water shower is really good']",[],6.0963125,2,0,1,1,0,[],['good food options and good supportive staff'],"['nice rooms , well priced , swimming pool on the roof nice restaurant at nights on the roof garden']",[],5.510425,7,0,6,1,0,[],"['room service is good', 'the service of the hotel was too good and preferable', 'good food options and good supportive staff', 'staff and reception bhi attractive tha', 'hotel ke sabhi staff helpful', 'staff and reception bhi attractive tha']",['the hotel was very nice and the staff response was too good'],[],6.30038125,4,0,3,1,0,[],"['the rooms were neat and tidy , well furnished with enough charging', 'nice rooms , cleanliness offered', 'the room is clean']","['the bath room is clean too , the hot water shower is really good']",[],109,35
Host-Inn International,"Opp.Marol Fire Brigade Station, Marol Naka, Andheri (E), 400059, India", Andheri (E),3,"Restaurant, Room Service, Free Parking, Bar/Lounge",2715,4134,6.098533333,5.4935525,30,3,10,17,0,"['excellent stay', 'best experience connectivity was good', 'rooms are well maintained and very clean']","['very convenient for transit to international airport', 'clean hotel', 'the deal through cleartrip was good too', 'we planned to stay while on our way to catch an international flight the next day from mumbai', 'the breakfast was sumptuous and the service staff were courteous', 'being very close to the airport', 'the food is bit pricey but overall i would rate the hotel well and recommend for others', 'awesome i liked very much', 'the hospitality rendered was comfortable', 'lovely pool']","['its ok for budget travelers if they', 'then', 'this is not worth for this money', 'this is probably a lodge', 'this is not upto the expectation', 'the drop off was complementary', 'n b mohanty', 'flight from delhi got delayed by appx minutes but the driver was waiting outside', 'the staff at the hotel were also very courteous and ensured the night stay was good and without much discomfort', 'to expensive compared to standard but very close to airport', 'free airport shuttle they say but this is not true', 'i got a confirmation by email that they should pick me up', 'i waited for one hour but no pick up', 'i hade to get a taxi', 'coming in from outside through out the night', 'however , it appears that the rates are not competitive', 'you may get a better option at those rates']",[],NA,0,0,0,0,0,[],[],[],[],5.50935,1,0,1,0,0,[],['rooms are well maintained and very clean'],[],[],6.04315,2,0,2,0,0,[],"['the breakfast was sumptuous and the service staff were courteous', 'the food is bit pricey but overall i would rate the hotel well and recommend for others']",[],[],5.388125,2,0,1,1,0,[],['the staff at the hotel were also very courteous and ensured the night stay was good and without much discomfort'],['the breakfast was sumptuous and the service staff were courteous'],[],7.704325,2,1,1,0,0,['rooms are well maintained and very clean'],['clean hotel'],[],[],84,49
Grand Hyatt Mumbai,"Off Western Express Highway, Santacruz (East), 400055, India", Santacruz (East),5,"Luxury, Beach, Pool, Free Parking, Pool, Room Service, Fitness Centre with Gym / Workout Room, Free Parking, Restaurant, Beach, Bar/Lounge, Spa",8144,19619,6.124614844,5.701730814,43,7,18,18,0,"['plenty options and really good taste', 'it is a very large hotel , but the the service is exceptional', 'good property , nice and spacious rooms , lot of amenities', 'good to stay and i recommend without any hesitation', 'the cleanliness of the hotel is extraordinary', 'the spa is very good and the spa treatments absolute are stars', 'staff was excellent and food was a joy to have and i ordered every dish i can try']","['close to airport', 'hi ,', 'everyone seemed to know our name and all our', 'i really appreciated the smooth airport pickup', 'apparently a simple solution would be to', 'and all you can expect', 'you have to pay wifi daily hour rate', 'pool is nice as well', 'so you have to take taxi to go anywhere', 'the name speaks for itself', 'there is plenty of shopping too', 'swimming pools of a decent size', 'everybody should stay there at least once in lifetime', 'the food is amazing and the staff is very friendly but the service is slow', 'recommended for business travellers', 'i went there for an official purpose and i stayed for two days in the month of august', 'the food was good in the hotel', 'room facilities are good and the staff is courteous']","['the only weak point of this hotel is that the rooms would benefit from some facelift', 'not too big', 'its a shame i only had one night here', 'below are some bad experience had during my stay', 'if you are looking of a little oasis of calm and peace , away from the frantic streets of mumbai , this is the hotel for you', 'the rooms were nice and the service was very helpful', 'happen to stay in first week of this new year at grand hyatt', 'stayed there for three nights in december', 'at the time of checkin all counters were busy with check out guest , so i was immediately moved to first floor , at club check in desk', 'stayed for the first time in and returned last week', 'the day i left there was a congress of reumatologists and everything', 'but the price is a little expensive', 'bombay has too much traffic so higher you go lesser the noise', 'there is no delay while checkin and checkout process', 'there was a swimming pool and gym but i did not utilize it', 'morning and evening with a minimum contribution', 'fruit platter and room provisions are good and staff attend guest without lapse of time', 'upon request , the transport is organised to the airport minute drive , depending on the time']",[],7.5656,1,0,1,0,0,[],"['good property , nice and spacious rooms , lot of amenities']",[],[],5.987520833,6,0,4,2,0,[],"['the only weak point of this hotel is that the rooms would benefit from some facelift', 'the rooms were nice and the service was very helpful', 'good property , nice and spacious rooms , lot of amenities', 'room facilities are good and the staff is courteous']","['if you are looking of a little oasis of calm and peace , away from the frantic streets of mumbai , this is the hotel for you', 'fruit platter and room provisions are good and staff attend guest without lapse of time']",[],6.909366667,3,1,2,0,0,['the food is amazing and the staff is very friendly but the service is slow'],"['the food was good in the hotel', 'staff was excellent and food was a joy to have and i ordered every dish i can try']",[],[],6.089704167,6,1,2,3,0,"['it is a very large hotel , but the the service is exceptional']","['fruit platter and room provisions are good and staff attend guest without lapse of time', 'staff was excellent and food was a joy to have and i ordered every dish i can try']","['the rooms were nice and the service was very helpful', 'the food is amazing and the staff is very friendly but the service is slow', 'room facilities are good and the staff is courteous']",[],5.568075,1,0,1,0,0,[],['the cleanliness of the hotel is extraordinary'],[],[],111,38
Jyoti Dwelling,"102, Dr. Charat Singh Colony, Chakala Link Road, 400093, India", Chakala Link Road,3,"Free Parking, Restaurant, Room Service, Free High Speed Internet ( WiFi )",2961,5121,6.178029412,5.756472414,29,2,13,14,0,"['recommended', 'the service and the bed quality is decent']","['comfortable enough and reasonable price', 'stayed here for two weeks', 'highly recommended for business travelers', 'proximity to airtport is an added advantage', 'it is a far better option', 'mostly occupied by middle level business executives', 'it was worth for the money', 'it was a trip with my better half', 'overall its just perfect for business traveler', 'it was good', 'internet was fast', 'food was poorthis is a good hotel', 'booking was done easily , over the phone']","['they provide free pickup and drop fromto airport', 'located a few km from airport', 'e tea maker , mini bar , tea table , lcd tv with local cable', 'clean rooms , clean sheets and towels , ac and fan in the room , tv ,', 'though the speed of internet is quite', 'activities like swimming pool or gym was not available in the hotel', 'i would surely like to recommend other travellers', 'there was no delay in checkin and checkout procedure', 'transport facility was arranged by the hotel', 'hotel was located little far from the airport and heart of the city and i reached there without any problem', 'they did not provide any welcome drink', 'complimentary breakfast was given by the hotel it was okayokay', 'no activities were organized by the hotel', 'very balanced bf with lots of option even for people who are fasting on that particular day']",[],NA,0,0,0,0,0,[],[],[],[],5.211566667,6,0,3,3,0,[],"['clean rooms , clean sheets and towels , ac and fan in the room , tv ,', 'the service and the bed quality is decent', 'transport facility was arranged by the hotel']","['activities like swimming pool or gym was not available in the hotel', 'hotel was located little far from the airport and heart of the city and i reached there without any problem', 'no activities were organized by the hotel']",[],5.506075,2,0,2,0,0,[],"['complimentary breakfast was given by the hotel it was okayokay', 'food was poorthis is a good hotel']",[],[],5.945175,1,0,1,0,0,[],['the service and the bed quality is decent'],[],[],7.285375,1,0,1,0,0,[],"['clean rooms , clean sheets and towels , ac and fan in the room , tv ,']",[],[],91,24
Hotel Park View,"37 Lallubhai Park Road, Andheri (East), 400058, India", Andheri (East),2.5,"Restaurant, Room Service, Bar/Lounge, Free Parking",3023,4504,6.21098625,5.808548571,35,3,14,18,0,"['good cleaniness and staff was also good', 'we enjoyed every evening very nicely', 'hotel was excellent and location is very good , near by andheri station and airport']","['i booked again for february', 'i listened in while dining', 'the good', 'clean and upmarket area', 'good parks', 'hotel park view lies in the heart of mumbai i', 'reception area', 'rooms are neat and clean with on cleanliness', 'ratings can increase provided management does something to', 'it was an official trip with my company colleagues', 'we had a nice time over there', 'one side there was a public garden so at mumbai we can see greenery very easily', 'clean and upmarket area', 'how ever park has its name at any deatination']","['stayed days a workshop in november', 'the experience was fine so i am going to be staying there again in may', 'stayed for couple of nights on a business trip to mumbai and since i had work in around andheri itself', 'minutes from the airport', 'i stayed there for days', 'i have airport pickup n drop both were on time without any prolems', 'the hotel is located in juhu , so if you have business or people to visit in that area the location is ok', 'however , it', 'e', 'andheri most of the corporate world is in andheri or in near by suburbs', 'only one daily newspaper available with them , may be they are having some sort of tie up with a newspaper group', 'i could sleep well', 'food is ok and service too is not bad', 'i stayed there for more than a week', 'some more modification is required', 'room was very clean including toilet and bath room also was very clean', 'stayed for couple of nights on a business trip to mumbai and since i had work in around andheri itself', 'minutes from the airport']",[],5.503283333,6,0,2,4,0,[],"['hotel park view lies in the heart of mumbai i', 'hotel was excellent and location is very good , near by andheri station and airport']","['clean and upmarket area', 'the hotel is located in juhu , so if you have business or people to visit in that area the location is ok', 'reception area', 'clean and upmarket area']",[],5.496525,2,0,1,1,0,[],['rooms are neat and clean with on cleanliness'],['room was very clean including toilet and bath room also was very clean'],[],5.5,1,0,1,0,0,[],['food is ok and service too is not bad'],[],[],4.850758333,3,0,2,0,1,[],"['good cleaniness and staff was also good', 'reception area']",[],['food is ok and service too is not bad'],6.91378,5,1,4,0,0,['rooms are neat and clean with on cleanliness'],"['clean and upmarket area', 'good cleaniness and staff was also good', 'room was very clean including toilet and bath room also was very clean', 'clean and upmarket area']",[],[],88,36
Hotel Le Grande,"Karishma Chamber, Near Bombay Cambridge School, Andheri(East), 400069, India", Andheri(East),2,"Room Service, Restaurant, Free Parking, Free High Speed Internet ( WiFi )",3393,4134,6.214352885,5.712851316,38,4,16,17,1,"['we stayed here during a very long layover , and would highly recommend it as a great nights rest', 'immaculate , big , comfortable , modern , clean worth every rupee and more', 'i was very happy with my stay here', 'been a overall good experience']","['good', 'room service superb', 'they picked us from the airport', 'the rooms were clean', 'i will again choose if i came to mumbai', 'they had picked us up from international and dropped us to domestic', 'it was an official trip', 'the location of the hotel was good and it was near to the railway station', 'friendly staff and food is mind blowing in budget', 'i hope they solve this issue soon', 'the bathroom is clean', 'the hotel is near to airport and this made me reserve the room here so i can access it easily', 'food , ambience is pleasant peaceful', 'there will complimentary pick up and drop if you inform in advance', 'i stayed twice here', 'i referred this to my friends also']","['the hotel was a little tricky to find in the early hours of the morning , it is tucked away in a back road', 'no', 'it is near airports but little far from railway stn', 'i will not recommend this for families', 'no view was visible from the room', 'pillow , washroom and other furnishing were in clean condition', 'location wise , the hotel was located very near to the airport', 'surrounding of the hotel was very peaceful', 'i had gone there for official work before eight month', 'food facility was available there with veg and nonveg varieties', 'checkin and checkout process was done on time', 'other activities like swimming pool , gym and games were not there in the hotel', 'room service is too good', 'if you are going with your family , the good news there is no cheap people there', 'or either there are no cabs at all', 'the room has air conditioning , tv and a sitting area', 'the hotel serves a complimentary buffet breakfast']","['close to airport mins , rs , hard to find , useful to have tel']",5.43798125,4,0,2,2,0,[],"['location wise , the hotel was located very near to the airport', 'the location of the hotel was good and it was near to the railway station']","['no view was visible from the room', 'the room has air conditioning , tv and a sitting area']",[],5.564344643,14,0,6,8,0,[],"['immaculate , big , comfortable , modern , clean worth every rupee and more', 'the rooms were clean', 'food facility was available there with veg and nonveg varieties', 'the bathroom is clean', 'the hotel is near to airport and this made me reserve the room here so i can access it easily', 'food , ambience is pleasant peaceful']","['the hotel was a little tricky to find in the early hours of the morning , it is tucked away in a back road', 'room service superb', 'no view was visible from the room', 'pillow , washroom and other furnishing were in clean condition', 'surrounding of the hotel was very peaceful', 'other activities like swimming pool , gym and games were not there in the hotel', 'room service is too good', 'the room has air conditioning , tv and a sitting area']",[],5.46375,4,0,2,2,0,[],"['food facility was available there with veg and nonveg varieties', 'friendly staff and food is mind blowing in budget']","['the hotel serves a complimentary buffet breakfast', 'food , ambience is pleasant peaceful']",[],5.802025,3,0,3,0,0,[],"['room service superb', 'room service is too good', 'friendly staff and food is mind blowing in budget']",[],[],6.37516875,4,0,3,1,0,[],"['immaculate , big , comfortable , modern , clean worth every rupee and more', 'the rooms were clean', 'the bathroom is clean']","['pillow , washroom and other furnishing were in clean condition']",[],125,30
Keys Hotel Nestor,"Makhwana Rd, off Military Rd, Marol, Andheri, 400059, India", Andheri,3,"Free Breakfast, Mid-range, Free Parking, Restaurant, Room Service, Free Parking, Free High Speed Internet ( WiFi ), Free Breakfast",2406,6231,6.215964286,5.838706618,34,4,14,16,0,"['generous staff and over all a good property at nice location', 'the overall stay was very good', 'the destination was really comfortable and great', 'privacy and comfort of guests from different parts of the world was very wellmanaged to provide good service']","['i have', 'rooms are tidy and clean', 'wifi is easy to connect having', 'it was last min reservation but i found good price', 'good things', 'i was on my office work and wifi was running excellent', 'i liked its proximity to bkc', 'i stayed here during my business trip', 'overall , the experience was good', 'there are lot of games', 'the overall experience was really amazing', 'nice spread', 'overall , good to stay if you are in town for a day or two', 'hotel staff was happy to provide services and i enjoyed my stay']","['the hotel is budget hotel , but the rooms are very much ordinary', 'they were not at all good for a professional stay', 'this is where i put up whenever im in city', 'youll find many eating joints nearby', 'i would like to visit again as i stayed there only for a night', 'location of this hotel is very close to international airport , only min away', 'my night stay was absolutely a value for money', 'the hotel is easily accessible by road transport system marol naka being the nearest metro station and hotel is approximately', 'even google maps failed', 'looks like it was renovated from an old apartment or something', 'so aesthetically , not up to mark', 'i would suggest to book this when you have exhausted other options you have business at bkc', 'i was on a business trip and keys fits the budget for regular business trips', 'exterior of the hotel was normal but interior was very attractive', 'it was valued for my money', 'you can ask for stuff like dental kit , shaving kit at a very nominal price']",[],6.0133875,2,0,2,0,0,[],"['generous staff and over all a good property at nice location', 'location of this hotel is very close to international airport , only min away']",[],[],5.66715,5,0,3,2,0,[],"['rooms are tidy and clean', 'the hotel is easily accessible by road transport system marol naka being the nearest metro station and hotel is approximately', 'privacy and comfort of guests from different parts of the world was very wellmanaged to provide good service']","['the hotel is budget hotel , but the rooms are very much ordinary', 'exterior of the hotel was normal but interior was very attractive']",[],NA,0,0,0,0,0,[],[],[],[],6.823375,3,0,3,0,0,[],"['generous staff and over all a good property at nice location', 'privacy and comfort of guests from different parts of the world was very wellmanaged to provide good service', 'hotel staff was happy to provide services and i enjoyed my stay']",[],[],6.589225,1,0,1,0,0,[],['rooms are tidy and clean'],[],[],108,21
Kohinoor Continental,"Andheri Kurla Road, Andheri E, 400059, India", Andheri E,3.5,"Vile Parle East, Free Breakfast, Mid-range, Pool, Pool, Restaurant, Room Service, Free Parking, Fitness Centre with Gym / Workout Room, Bar/Lounge, Free Breakfast",5244,11598,6.229486458,5.751975862,29,4,10,15,0,"['appearance and the interior of the hotel are very attractive and hygienic', 'the hotel offers airport pickup and the location is good', 'best ever is the paintings in lobby', 'even single rooms was so nice with same quality food with the great breakfast']","['ft', 'its a decent airport near international airport', 'recommended for business trips', 'ambiance was good', 'food is ok and conference room is also good', 'hospitality was good', 'room service is quite prompt and fast', 'quite decent hotel with very hospitable staff and services', 'will refer to everyone', 'i recommended all my friends']","['proximity to andheri to malad , powai and ghatkopor on central side', 'what a shameless front office manager shantanu of kohinoor continental', 'they provide free pick and drop from airport', 'traffic condition is difficult to handle', 'however , their should be more variety in the menu and taste', 'they had always been ready to help and cooperate', 'located at noisy andheri kurla road', 'it is not so long from station also we can travel by metro from andheri to chakala', 'and i didnt have any problem in checkin or checkout', 'wifi and laundry services were also available in the hotel', 'there was no delay in check in and check out procedure', 'hotel staff is very down to earth and helping', 'the hotel is bang on the metro station which was under construction when i visited', 'the same was promptly noted and was ready , early morning', 'i resided for a day in sapphire plaza suite and two days in the single']",[],5.8547125,2,1,0,1,0,['the hotel offers airport pickup and the location is good'],[],['the hotel is bang on the metro station which was under construction when i visited'],[],6.62928125,4,1,2,1,0,['appearance and the interior of the hotel are very attractive and hygienic'],"['food is ok and conference room is also good', 'even single rooms was so nice with same quality food with the great breakfast']",['room service is quite prompt and fast'],[],6.8350875,2,1,1,0,0,['even single rooms was so nice with same quality food with the great breakfast'],['food is ok and conference room is also good'],[],[],5.4360125,4,0,2,2,0,[],"['room service is quite prompt and fast', 'hotel staff is very down to earth and helping']","['wifi and laundry services were also available in the hotel', 'quite decent hotel with very hospitable staff and services']",[],NA,0,0,0,0,0,[],[],[],[],103,23
Hotel Airport International,"Opposite BIG Sangam Cinemas,Andheri Kurla Road,Andheri East, Andheri East, 400059, India", Andheri East,4,"Luxury, Pool, Free Parking, Pool, Fitness Centre with Gym / Workout Room, Room Service, Restaurant, Free Parking, Bar/Lounge, Spa",7095,12215,6.286421,5.834341346,26,5,7,14,0,"['good hotel to stay , nice swimming pool and a decent breakfast', 'but as an overall experience i can grade it very good', 'nice hotel to stay with good service', 'cleanliness is good and the rooms were nice', 'a nice , economical stay']","['location was good , just beneath the metro line in andheri e , deserves the marriott label', 'the bed and shower were of an excellent quality and all the staff were very friendly', 'hygiene should improve to make the stay more pleasant here', 'it was good overall', 'the room was neat and clean and very hygienic', 'it is worth staying here', 'sight from my window was so beautiful']","['they kindly gave me late checkout without charge and told me what kind of charges to expect if i used my own taxis which i generally do', 'there were some hiccups i informed them that they needed to pick up my sister from the airport , but they did not organise this', 'couldnt have asked for more', 'the airport pickup was the best the driver was helpful kind', 'let me list the good things first', 'the food were not very satisfactory', 'inner appearance of rooms is not bad', 'the rooms are not that clean', 'breakfast complimentary was better than expected compared to a hotel of that rating', 'airport transfers were on time', 'the problem is to get down at the entry gate', 'there is no problem in checkin and checkout', 'they even arranged us guide for city tour', 'the room and the bathroom were small and not that clean either']",[],5.5159125,2,0,1,1,0,[],"['location was good , just beneath the metro line in andheri e , deserves the marriott label']",['sight from my window was so beautiful'],[],5.368909375,8,0,3,5,0,[],"['cleanliness is good and the rooms were nice', 'inner appearance of rooms is not bad', 'the rooms are not that clean']","['the bed and shower were of an excellent quality and all the staff were very friendly', 'the food were not very satisfactory', 'the room was neat and clean and very hygienic', 'sight from my window was so beautiful', 'the room and the bathroom were small and not that clean either']",[],6.1294,3,0,3,0,0,[],"['good hotel to stay , nice swimming pool and a decent breakfast', 'the food were not very satisfactory', 'breakfast complimentary was better than expected compared to a hotel of that rating']",[],[],7.51955,2,0,2,0,0,[],"['the bed and shower were of an excellent quality and all the staff were very friendly', 'nice hotel to stay with good service']",[],[],6.430825,5,2,1,2,0,"['cleanliness is good and the rooms were nice', 'the room was neat and clean and very hygienic']","['location was good , just beneath the metro line in andheri e , deserves the marriott label']","['the rooms are not that clean', 'the room and the bathroom were small and not that clean either']",[],94,2
